slide_id,source,metric,model_version,n_fovs_on_slide,baseline_mean,baseline_std,baseline_median,baseline_mad,flags,no_data_reason
NKR-72502137,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,104,36.002,100.0,35.5824,,
NKR-72502142,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,107.682,42.509,103.0,32.6172,,
NKR-72502165,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,72.688,30.84,68.0,28.1694,,
NKR-72502166,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,226.037,355.448,131.5,60.7866,mean_median_divergence,
NKR-72502171,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,111.059,93.735,69.0,40.0302,mean_median_divergence,
NKR-72502175,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,199.96,95.584,169.0,53.3736,,
NKR-72502177,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,45.37,20.777,42.0,17.7912,,
NKR-72502181,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,81.71,44.631,70.0,29.652,,
NKR-72502186,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,45.127,19.03,42.0,16.3086,,
NKR-72502187,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,227.5,151.905,191.0,127.5036,,
NKR-72502209,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,86.577,53.277,75.5,34.8411,,
NKR-72502221,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,45.278,52.431,35.0,20.7564,mean_median_divergence,
NKR-72502224,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,82.71,137.596,65.5,36.3237,mean_median_divergence,
NKR-72502225,annotation_bucket,n_spots_detected,,324,70.571,34.565,67.0,41.5128,,
NKR-72502227,annotation_bucket,n_spots_detected,,324,88.611,32.226,82.5,22.9803,,
NKR-72502228,annotation_bucket,n_spots_detected,,324,59.688,28.214,55.0,28.1694,,
NKR-72502230,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,112.278,39.317,104.0,30.3933,,
NKR-72502233,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,74.049,31.713,68.0,26.6868,,
NKR-72502235,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,219.858,363.057,148.5,141.5883,mean_median_divergence,
NKR-72502244,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,89.117,63.762,70.5,45.2193,mean_median_divergence,
NKR-72502297,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,198.182,59.519,194.0,69.6822,,
NKR-72502298,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,98.111,42.143,105.0,50.4084,,
